,rpt_run_date,AM_ready_to_ship,ship_tomorrow
103,2023-07-28,665437.0,1125440.3299999237
104,2023-07-31,742909.0,1037625.3299999237
105,2023-08-01,594320.0,749720.3299999237
106,2023-08-02,631821.0,944818.3299999237
107,2023-08-03,638664.0,961906.3299999237
108,2023-08-04,741108.0,1143754.3299999237
109,2023-08-07,600693.0,1182109.3299999237
110,2023-08-08,657723.0,970044.3299999237
111,2023-08-29,818555.0,1310662.3299999237
112,2023-08-30,811731.0,1073742.3299999237
113,2023-08-31,815676.0,1186600.3299999237
114,2023-09-05,1045756.0,1142064.3299999237
115,2023-09-06,990609.0,1383817.3299999237
116,2023-09-07,1028933.0,1579722.3299999237
117,2023-09-08,1031394.0,1257183.3299999237
118,2023-09-11,1049130.150024414,1341634.3299999237
119,2023-09-13,722927.0,1304358.3299999237
120,2023-09-14,1008865.0,1146318.7300243378
121,2023-09-15,834265.0,1371689.7300243378
122,2023-09-18,869831.0,1503845.3299999237
123,2023-09-19,940888.2999999523,1226472.3299999237
124,2023-09-20,932384.0,1087432.0
125,2023-09-21,862629.0,1248813.0
126,2023-09-22,805004.0,1167637.0
127,2023-09-25,764816.0,1326768.0
128,2023-09-26,1113965.0,1572140.0
129,2023-09-27,1111505.0,1446642.0
130,2023-09-28,954050.0,1312478.0
131,2023-09-29,944342.0,1365912.0
132,2023-10-02,876894.0,1209627.0
133,2023-10-03,849490.0,1020889.0
134,2023-10-05,888068.0,1216516.0
135,2023-10-06,886249.0,1283432.0
136,2023-10-10,894746.0,1005417.0
137,2023-10-11,923412.0,1220181.0
138,2023-10-12,747941.0,886705.0
139,2023-10-13,750364.0,923440.0
140,2023-10-16,743039.0,1398756.0
141,2023-10-17,879748.0,1457685.0
142,2023-10-18,996975.0,1457663.0
143,2023-10-19,1035299.0,1705769.0
144,2023-10-20,816826.0,1634265.0
145,2023-10-23,909521.0,1380774.0
146,2023-10-24,1007473.0,1163343.0
147,2023-10-25,1035175.0,1095502.0
148,2023-10-31,1019726.0,1182298.0
149,2023-11-01,981449.0,970141.0
150,2023-11-02,1006554.0,977262.0
151,2023-11-03,934236.0,599650.0
152,2023-11-06,930469.0,896286.0
153,2023-11-07,937634.0,1235391.0
154,2023-11-08,797749.0,1011948.0
155,2023-11-09,800949.0,1022778.0
156,2023-11-10,865267.0,749669.0
157,2023-11-13,769691.0,894690.0
158,2023-11-14,881013.0,847345.0
159,2023-11-15,896326.0,921959.0
160,2023-11-16,931011.0,1207255.0
161,2023-11-17,813134.0,1198056.0
162,2023-11-20,784026.0,968045.0
163,2023-11-21,828639.0,868933.0
164,2023-11-22,964941.0,919610.0
165,2023-11-27,1079934.0,1640000.0
166,2023-11-28,825311.0,1852362.0
167,2023-11-29,837957.0,1515148.0
168,2023-11-30,862344.0,1376497.0
169,2023-12-01,878639.0,1121851.0
170,2023-12-04,939730.0,1311424.0
171,2023-12-06,896019.0,794479.0
172,2023-12-07,916438.0,1195069.0
173,2023-12-08,931229.0,1150971.0
174,2023-12-11,1011726.0,1047908.0
175,2023-12-12,1120803.0,1253265.0
176,2023-12-13,906795.0,1327511.0
177,2023-12-14,1024578.0,1193173.0
178,2023-12-15,1075770.0,917740.0
179,2023-12-18,1014667.0,1229543.0
180,2023-12-19,1264618.0,1118032.0
181,2023-12-20,1179359.0,1286596.0
182,2023-12-21,1150977.0,1423912.0
183,2023-12-22,1025951.0,1283502.0
184,2023-12-27,1017818.0,1041253.0
185,2023-12-28,1063473.0,1231200.0
186,2024-01-01,1265588.0,1066524.0
187,2024-01-02,1300318.0,1639878.0
188,2024-01-03,1079234.0,1551197.0
189,2024-01-04,1085897.0,1319901.0
190,2024-01-08,981250.0,1339233.0
191,2024-01-09,936687.0,994423.0
192,2024-01-10,891504.0,1343188.0
193,2024-01-15,1000555.0,1549596.0
194,2024-01-16,919857.0,1326840.0
195,2024-01-17,935166.0,1140178.0
196,2024-01-18,1040228.0,1013447.0
197,2024-01-19,954044.0,1018952.0
198,2024-01-23,1116497.0,1120355.0
199,2024-01-24,969578.0,1052270.0
200,2024-01-22,936439.0,1223443.0
